City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
81,Bethel,US,85.77,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
87,Oranjestad,AW,85.95,broken clouds,12.52,-70.03,Divi Village Golf & Beach Resort
90,Waddan,LY,81.37,clear sky,29.16,16.14,محل الشريف محمد العايب
96,Bandar-E Anzali,IR,77.11,clear sky,37.47,49.46,Behesht Talab Hotel
98,Arraial Do Cabo,BR,76.96,clear sky,-22.97,-42.03,Pousada Porto Praia
101,Danville,US,87.87,broken clouds,36.59,-79.4,"Holiday Inn Express Danville, an IHG Hotel"
102,Yarmouth,US,86.14,clear sky,41.71,-70.23,The Inn At Cape Cod
103,Thompson,CA,80.76,scattered clouds,55.74,-97.86,Burntwood Hotel
105,Natal,BR,77.65,broken clouds,-5.8,-35.21,Villa Park Hotel | Natal
108,Marshalltown,US,84.43,scattered clouds,42.05,-92.91,Best Western Regency Inn
110,Urumqi,CN,81.55,clear sky,43.8,87.6,Hua Ling Grand Hotel Urumqi
113,Hobyo,SO,76.1,overcast clouds,5.35,48.53,Iftin hotel hobyo
114,Trinidad,BO,78.62,scattered clouds,-14.83,-64.9,Hotel Piesta
124,San Cristobal,VE,80.78,scattered clouds,7.77,-72.22,Pirineos
127,Vila Velha,BR,76.95,clear sky,-20.33,-40.29,Hotel Vitória Palace
131,Nisia Floresta,BR,77.38,broken clouds,-6.09,-35.21,Rancho Crepusculo
136,Komsomolskiy,UZ,81.32,clear sky,40.43,71.72,Ikathouse
137,Guerrero Negro,MX,81.23,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
140,Zhezkazgan,KZ,75.96,clear sky,47.8,67.71,Hotel Zumrat
141,Rahuri,IN,75.6,overcast clouds,19.38,74.65,P.W.D RESTHOUSE
148,Dera Bugti,PK,83.01,scattered clouds,29.03,69.15,SARDAR GHULAM MUSTAFA KHAN BUGTI
152,Koungheul,SN,87.89,overcast clouds,13.98,-14.8,Statation petrodis
158,Lompoc,US,81.84,clear sky,34.64,-120.46,"Holiday Inn Express Lompoc, an IHG Hotel"
160,Portel,BR,84.38,broken clouds,-1.94,-50.82,Pousada Avenida
161,Braganca,BR,76.95,overcast clouds,-1.05,-46.77,Marujo's Suíte Hotel
162,Carutapera,BR,79.86,broken clouds,-1.2,-46.02,Lidera
166,Ishigaki,JP,84.33,broken clouds,24.34,124.16,Hotel Peace Land Ishigakijima
172,Fukue,JP,79.86,heavy intensity rain,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
173,Sioux Lookout,CA,86.07,broken clouds,50.1,-91.92,Knobby's Fly-In Camps
175,Cotonou,BJ,76.44,few clouds,6.37,2.42,Novotel Cotonou Orisha
183,Sao Joao Da Barra,BR,78.89,overcast clouds,-21.64,-41.05,Pousada Porto De Canoas
185,Jiangyou,CN,75.0,overcast clouds,31.77,104.72,Shangping Shuyuan Inn
188,Kieta,PG,79.34,light rain,-6.22,155.63,Uruna Bay Retreat
190,Kongolo,CD,81.01,overcast clouds,-5.38,27.0,Centre d’Accueil et de Formation
191,Vanimo,PG,75.85,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
192,Ciudad Bolivar,VE,88.68,broken clouds,8.12,-63.55,Hotel Edi
