City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,Indiana,40.0003,-86.2503,84.58,46,75,5.01,US,2022-07-14 22:13:44
130,Flagstaff,35.1981,-111.6513,65.12,89,0,3.44,US,2022-07-14 22:13:40
131,Portland,45.5234,-122.6762,86.52,41,20,9.22,US,2022-07-14 22:11:25
132,General Pico,-35.6566,-63.7568,54.3,61,70,6.93,AR,2022-07-14 22:11:14
133,Puerto Escondido,15.85,-97.0667,84.15,78,85,14.18,MX,2022-07-14 22:13:45
134,Cloquet,46.7216,-92.4594,72.79,59,100,9.22,US,2022-07-14 22:14:45
135,Acarau,-2.8856,-40.12,79.2,80,16,16.69,BR,2022-07-14 22:14:16
136,Englewood,39.6478,-104.9878,97.57,24,75,5.99,US,2022-07-14 22:14:46
137,Alice Springs,-23.7,133.8833,24.35,80,0,0.0,AU,2022-07-14 22:14:46
138,Arraial Do Cabo,-22.9661,-42.0278,71.46,88,0,11.5,BR,2022-07-14 22:14:46
139,New Norfolk,-42.7826,147.0587,43.72,91,92,2.1,AU,2022-07-14 22:14:47
140,Te Anau,-45.4167,167.7167,36.0,95,89,0.56,NZ,2022-07-14 22:14:47
141,Pevek,69.7008,170.3133,33.84,85,5,13.2,RU,2022-07-14 22:14:47
142,Bredasdorp,-34.5322,20.0403,51.33,83,35,2.13,ZA,2022-07-14 22:14:48
143,Kohtla-Jarve,59.3986,27.2731,53.65,84,53,9.55,EE,2022-07-14 22:14:48
144,Pangody,65.85,74.4859,53.83,61,11,7.7,RU,2022-07-14 22:14:48
145,Hilo,19.7297,-155.09,87.28,75,40,5.75,US,2022-07-14 22:12:50
146,Fenoarivo,-18.933,47.4354,55.47,88,75,5.75,MG,2022-07-14 22:14:49
147,Jining,35.405,116.5814,80.35,83,70,3.85,CN,2022-07-14 22:14:49
148,Svetlaya,46.5389,138.3297,58.5,97,100,12.71,RU,2022-07-14 22:14:49
149,Yar-Sale,66.8333,70.8333,56.57,62,100,8.3,RU,2022-07-14 22:12:32
150,Husavik,66.0449,-17.3389,47.95,83,27,2.84,IS,2022-07-14 22:14:50
151,Hegang,47.4,130.3667,64.99,96,100,8.43,CN,2022-07-14 22:14:50
152,Tuktoyaktuk,69.4541,-133.0374,36.95,81,100,23.78,CA,2022-07-14 22:14:50
153,Jamestown,42.097,-79.2353,77.05,44,0,9.22,US,2022-07-14 22:14:20
154,Vila,42.0304,-8.1588,74.28,57,90,5.01,PT,2022-07-14 22:14:51
155,Namibe,-15.1961,12.1522,65.39,85,74,3.51,AO,2022-07-14 22:14:51
156,Chokurdakh,70.6333,147.9167,56.98,57,91,7.83,RU,2022-07-14 22:14:51
157,Narsaq,60.9167,-46.05,59.22,61,100,5.91,GL,2022-07-14 22:14:52
158,Eyl,7.9803,49.8164,79.16,73,95,24.61,SO,2022-07-14 22:14:52
159,Ust-Tsilma,65.441,52.1498,66.81,84,100,2.57,RU,2022-07-14 22:14:52
160,San Fernando,15.0286,120.6898,78.13,90,95,0.76,PH,2022-07-14 22:10:44
161,Ahuimanu,21.4447,-157.8378,85.71,72,75,16.11,US,2022-07-14 22:14:53
162,Rio Gallegos,-51.6226,-69.2181,24.85,100,40,3.44,AR,2022-07-14 22:11:31
163,Farmington,36.7281,-108.2187,98.15,17,0,5.75,US,2022-07-14 22:14:53
164,Khatanga,71.9667,102.5,45.23,82,100,3.49,RU,2022-07-14 22:12:47
165,Souillac,-20.5167,57.5167,68.4,81,9,11.41,MU,2022-07-14 22:14:53
166,San Patricio,28.017,-97.5169,97.18,42,20,18.21,US,2022-07-14 22:14:54
167,Vanimo,-2.6741,141.3028,78.35,86,100,2.21,PG,2022-07-14 22:14:54
168,Port Blair,11.6667,92.75,80.71,84,100,16.93,IN,2022-07-14 22:14:54
169,Tarskoye,42.967,44.7711,64.65,91,86,1.99,RU,2022-07-14 22:14:55
170,Butaritari,3.0707,172.7902,81.82,81,31,18.77,KI,2022-07-14 22:14:55
171,Leningradskiy,69.3833,178.4167,37.06,74,16,9.95,RU,2022-07-14 22:14:55
172,Santarem,-2.4431,-54.7083,77.13,100,20,2.3,BR,2022-07-14 22:14:56
173,Chuy,-33.6971,-53.4616,56.32,97,79,10.47,UY,2022-07-14 22:14:56
174,Aloleng,16.1307,119.7824,81.32,82,100,10.11,PH,2022-07-14 22:14:56
175,Catamarca,-28.4696,-65.7852,64.58,29,0,3.89,AR,2022-07-14 22:14:57
176,Qaanaaq,77.484,-69.3632,46.53,80,23,6.49,GL,2022-07-14 22:14:57
177,Coihaique,-45.5752,-72.0662,34.41,75,100,4.61,CL,2022-07-14 22:14:57
178,Marica,-22.9194,-42.8186,73.35,84,10,12.41,BR,2022-07-14 22:10:07
179,Watsa,3.0372,29.5355,63.19,99,81,1.45,CD,2022-07-14 22:14:58
180,Honiara,-9.4333,159.95,82.8,59,88,3.02,SB,2022-07-14 22:15:21
181,Nanortalik,60.1432,-45.2371,46.29,78,100,1.95,GL,2022-07-14 22:15:58
182,Urgut,39.4022,67.2431,67.62,29,0,4.27,UZ,2022-07-14 22:15:58
183,Ararat,39.8317,44.7049,77.34,45,5,7.45,AM,2022-07-14 22:15:59
184,Labuhan,-6.8844,112.2051,76.35,91,67,7.81,ID,2022-07-14 22:15:59
185,Yellowknife,62.456,-114.3525,70.32,49,75,8.05,CA,2022-07-14 22:15:59
186,Monroe,43.1501,-77.6831,79.0,44,0,10.36,US,2022-07-14 22:13:45
187,Saint-Joseph,-21.3667,55.6167,64.2,79,85,8.03,RE,2022-07-14 22:16:00
188,East London,-33.0153,27.9116,59.38,68,3,12.28,ZA,2022-07-14 22:16:00
189,Mar Del Plata,-38.0023,-57.5575,53.1,98,100,15.01,AR,2022-07-14 22:16:00
190,Haines Junction,60.7522,-137.5108,51.75,76,98,2.3,CA,2022-07-14 22:16:01
191,Tazovskiy,67.4667,78.7,49.55,71,11,3.78,RU,2022-07-14 22:16:01
192,Prince Rupert,54.3161,-130.3201,57.29,88,100,8.05,CA,2022-07-14 22:14:45
193,Kutum,14.2,24.6667,72.95,71,94,1.52,SD,2022-07-14 22:16:02
194,Georgetown,5.4112,100.3354,79.9,90,20,0.0,MY,2022-07-14 22:11:26
195,Ucluelet,48.9329,-125.5528,64.09,76,90,1.01,CA,2022-07-14 22:15:15
196,Waitara,-38.925,174.25,48.99,74,97,10.42,NZ,2022-07-14 22:16:02
197,Qandala,11.472,49.8728,91.67,46,40,23.73,SO,2022-07-14 22:16:03
198,San Cristobal,7.7669,-72.225,80.78,51,36,1.34,VE,2022-07-14 22:12:09
199,Okhotsk,59.3833,143.3,63.19,86,90,2.8,RU,2022-07-14 22:16:03
200,Cross Lanes,38.4204,-81.7907,84.58,62,40,5.75,US,2022-07-14 22:16:04
201,Vientiane,17.9667,102.6,75.51,95,98,3.96,LA,2022-07-14 22:16:04
202,Sorland,67.667,12.6934,49.86,89,100,19.13,NO,2022-07-14 22:16:04
203,Kencong,-8.2833,113.3667,74.91,89,85,2.91,ID,2022-07-14 22:16:05
204,Lucea,18.451,-78.1736,81.86,75,43,10.56,JM,2022-07-14 22:16:05
205,Barabai,-2.5833,115.3833,72.93,95,99,1.39,ID,2022-07-14 22:16:05
