City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
228,Coihaique,CL,-45.58,-72.07,39.15,75,75,0.0,broken clouds
229,Norman Wells,CA,65.28,-126.83,73.44,43,75,9.22,broken clouds
230,Lagoa,PT,39.05,-27.98,70.9,92,0,9.84,clear sky
231,Teacapan,MX,22.55,-105.75,87.91,65,100,9.1,overcast clouds
232,Netolice,CZ,49.05,14.2,62.85,68,40,3.78,scattered clouds
233,Acajutla,SV,13.59,-89.83,85.71,64,21,6.78,few clouds
234,Yumen,CN,40.28,97.2,73.89,33,100,15.03,overcast clouds
235,Alta Floresta,BR,-9.88,-56.09,94.82,24,40,11.5,scattered clouds
236,Iquitos,PE,-3.75,-73.25,78.84,89,75,4.61,broken clouds
237,Najran,SA,17.49,44.13,84.85,33,94,9.57,overcast clouds
238,Marang,MY,5.21,103.21,78.71,88,93,3.94,overcast clouds
239,Phangnga,TH,8.45,98.53,77.04,95,78,2.26,broken clouds
240,Ewa Beach,US,21.32,-158.01,84.15,63,75,25.32,broken clouds
241,Petatlan,MX,17.52,-101.27,91.2,67,98,8.43,overcast clouds
242,Ranong,TH,9.97,98.63,78.37,89,97,4.7,overcast clouds
243,Rabaul,PG,-4.2,152.17,79.05,76,97,4.65,overcast clouds
244,Chestermere,CA,51.03,-113.82,73.38,53,75,9.22,broken clouds
245,Hambantota,LK,6.12,81.12,80.02,79,100,15.95,overcast clouds
246,Rossland,CA,49.08,-117.8,79.61,19,0,7.29,clear sky
247,Alyangula,AU,-13.85,136.42,67.48,88,27,8.19,scattered clouds
248,Gravdal,NO,68.12,13.5,51.69,76,40,4.61,scattered clouds
249,Mandiana,GN,10.63,-8.68,73.67,96,90,5.61,overcast clouds
250,Smidovich,RU,48.6,133.82,63.81,95,100,5.53,overcast clouds
251,Baykit,RU,61.67,96.37,50.43,96,52,3.49,broken clouds
252,Leningradskiy,RU,69.38,178.42,32.56,94,83,26.75,light snow
253,Asyut,EG,27.18,31.18,86.18,26,0,9.69,clear sky
254,Turayf,SA,31.67,38.66,88.05,27,0,11.5,clear sky
255,Husnicioara,RO,44.68,22.84,58.51,39,2,5.57,clear sky
256,Malindi,KE,-3.22,40.12,75.33,81,24,17.2,light rain
257,Baykalsk,RU,51.51,104.15,54.37,83,46,1.74,scattered clouds
258,Obigarm,TJ,38.72,69.71,72.23,34,0,4.5,clear sky
259,Pringsewu,ID,-5.36,104.97,72.7,97,70,1.36,broken clouds
260,Ilulissat,GL,69.22,-51.1,51.82,54,20,3.44,few clouds
261,Narsaq,GL,60.92,-46.05,59.22,72,96,6.08,overcast clouds
262,Saldanha,ZA,-33.01,17.94,55.45,91,0,7.4,clear sky
263,Verkhoyansk,RU,67.54,133.38,57.38,65,100,2.24,overcast clouds
264,Lukovetskiy,RU,64.3,41.92,54.77,86,96,3.18,light rain
265,Belmonte,BR,-15.86,-38.88,72.64,87,17,8.95,few clouds
266,Ayan,RU,56.45,138.17,57.51,93,100,9.06,overcast clouds
267,Cabo San Lucas,MX,22.89,-109.91,95.61,26,0,11.5,clear sky
268,Paamiut,GL,61.99,-49.67,43.47,86,100,5.06,overcast clouds
269,Kailua,US,21.4,-157.74,84.18,73,75,11.5,broken clouds
270,Verkhnetulomskiy,RU,68.61,31.8,53.73,94,40,4.12,scattered clouds
271,Cururupu,BR,-1.83,-44.87,78.15,80,28,3.8,scattered clouds
272,Vilyuysk,RU,63.76,121.62,64.62,97,97,4.97,light rain
273,Ambon,ID,-3.7,128.18,78.24,15,40,4.61,scattered clouds
274,Kahului,US,20.89,-156.47,87.82,65,20,24.0,few clouds
275,Deputatskiy,RU,69.3,139.9,48.04,63,78,3.0,broken clouds
276,Madera,US,37.17,-119.83,110.52,18,1,4.0,clear sky
277,Jumla,NP,29.27,82.18,62.62,96,72,1.5,broken clouds
278,Port Augusta,AU,-32.5,137.77,43.34,86,2,2.98,clear sky
279,Kulob,TJ,37.91,69.78,84.96,34,0,13.42,clear sky
280,Sergeyevka,KZ,53.88,67.42,63.19,95,100,5.68,light rain
281,Mahebourg,MU,-20.41,57.7,70.09,64,40,14.97,scattered clouds
282,Bardiyah,LY,31.76,25.09,78.85,65,0,11.03,clear sky
283,Ust-Tarka,RU,55.57,75.7,53.6,84,3,7.58,clear sky
284,Chabahar,IR,25.29,60.64,87.84,69,100,4.7,overcast clouds
285,Batemans Bay,AU,-35.72,150.18,51.1,52,0,9.91,clear sky
286,Gigmoto,PH,13.78,124.39,80.33,84,100,3.67,overcast clouds
287,Puerto Escondido,MX,15.85,-97.07,86.83,62,75,8.05,broken clouds
288,Turkistan,KZ,43.0,68.0,81.32,21,0,5.46,clear sky
289,Mmabatho,ZA,-25.85,25.63,44.56,70,0,5.75,clear sky
290,Bonthe,SL,7.53,-12.5,76.62,89,100,11.23,light rain
291,Golyshmanovo,RU,56.4,68.37,57.45,83,52,3.58,broken clouds
292,Waingapu,ID,-9.66,120.26,72.25,84,17,7.74,few clouds
293,Virginia Beach,US,36.85,-75.98,94.01,63,75,13.8,broken clouds
294,Hovd,MN,48.01,91.64,64.54,42,15,8.1,few clouds
295,Iqaluit,CA,63.75,-68.51,40.73,93,100,5.75,light rain
296,Puntarenas,CR,9.98,-84.84,82.45,77,93,7.34,overcast clouds
297,Sistranda,NO,63.73,8.83,53.56,82,85,18.77,overcast clouds
298,Rioja,AR,-29.41,-66.85,60.37,27,12,3.58,few clouds
299,Paravur,IN,8.78,76.7,78.82,89,100,9.28,overcast clouds
300,Dikson,RU,73.51,80.55,43.95,79,10,8.14,clear sky
301,Comodoro Rivadavia,AR,-45.87,-67.5,48.06,49,0,24.16,clear sky
302,Coruripe,BR,-10.13,-36.18,73.4,77,10,8.37,clear sky
303,Acapulco,MX,16.86,-99.89,87.62,62,75,5.75,broken clouds
304,Nantucket,US,41.28,-70.1,84.31,82,0,11.5,clear sky
305,Zhigansk,RU,66.77,123.37,55.45,70,83,10.45,broken clouds
306,Labuhan,ID,-6.88,112.21,75.7,88,98,7.27,overcast clouds
307,Lazaro Cardenas,MX,17.96,-102.2,85.98,65,87,9.53,overcast clouds
308,Solvychegodsk,RU,61.33,46.92,58.41,87,92,1.79,overcast clouds
309,Gusau,NG,12.16,6.66,73.96,86,100,2.33,light rain
310,Furth Im Wald,DE,49.31,12.84,64.44,38,14,1.9,few clouds
311,Beni,CD,0.5,29.47,63.54,93,35,2.42,scattered clouds
312,Shimanovsk,RU,52.0,127.7,65.64,97,96,2.77,light rain
313,Tofte,NO,59.54,10.56,65.39,71,95,2.57,overcast clouds
314,Podor,MR,16.65,-14.96,85.68,52,11,16.73,few clouds
315,Dzidzantun,MX,21.25,-89.05,88.72,52,65,8.7,broken clouds
316,Mehriz,IR,31.59,54.43,82.9,11,0,4.59,clear sky
317,Bloemhof,ZA,-27.65,25.61,52.12,39,0,2.84,clear sky
318,Skjervoy,NO,70.03,20.97,48.2,82,100,4.34,overcast clouds
319,Alice Springs,AU,-23.7,133.88,35.15,41,0,0.0,clear sky
320,Moron,AR,-34.65,-58.62,56.01,48,24,7.11,few clouds
321,Bougouni,ML,11.42,-7.48,76.32,87,99,4.9,overcast clouds
322,Chaiyaphum,TH,15.75,102.0,78.12,85,54,6.98,broken clouds
323,Dharmadam,IN,11.78,75.43,77.22,86,100,5.95,overcast clouds
324,Viedma,AR,-40.81,-63.0,49.77,45,58,22.7,broken clouds
325,Keflavik,IS,64.0,-22.56,51.71,87,100,11.5,light intensity drizzle
326,Junagarh,IN,19.87,82.93,76.53,91,98,5.28,overcast clouds
327,Gasa,PS,31.5,34.47,73.89,79,0,1.79,clear sky
